Acolyte,Anthropologist,Charlatan,Criminal,Criminal (Spy),Entertainer,Entertainer (Gladiator),Fisher,Folk Hero,Guild Artisan,Guild Artisan (Guild Merchant),Haunted One,Hermit,Marine,Noble,Noble (Knight),Outlander,Sage,Sailor,Sailor (Pirate),Shipwright,Smuggler,Soldier,Urchin
Insight,Insight,Deception,Deception,Deception,Acrobatics,Acrobatics,History,Animal Handling,Insight,Insight,Acrobatics,Medicine,Athletics,History,History,Athletics,Arcana,Athletics,Athletics,History,Athletics,Athletics,Sleight of Hand
Religion,Religion,Sleight of Hand,Stealth,Stealth,Performance,Performance,Survival,Survival,Persuasion,Persuasion,Animal Handling,Religion,Survival,Persuasion,Persuasion,Survival,Survival,Perception,Perception,Perception,Deception,Intimidation,Stealth
,,,,,,,,,,,Arcana,,,,,,,,,,,,
,,,,,,,,,,,Athletics,,,,,,,,,,,,
,,,,,,,,,,,Deception,,,,,,,,,,,,
,,,,,,,,,,,History,,,,,,,,,,,,
,,,,,,,,,,,Insight,,,,,,,,,,,,
,,,,,,,,,,,Intimidation,,,,,,,,,,,,
,,,,,,,,,,,Investigation,,,,,,,,,,,,
,,,,,,,,,,,Medicine,,,,,,,,,,,,
,,,,,,,,,,,Nature,,,,,,,,,,,,
,,,,,,,,,,,Perception,,,,,,,,,,,,
,,,,,,,,,,,Performance,,,,,,,,,,,,
,,,,,,,,,,,Persuasion,,,,,,,,,,,,
,,,,,,,,,,,Religion,,,,,,,,,,,,
,,,,,,,,,,,Sleight of Hand,,,,,,,,,,,,
,,,,,,,,,,,Stealth,,,,,,,,,,,,
,,,,,,,,,,,Survival,,,,,,,,,,,,
